Feature,Importance
Week,0.41360005902887254
Sales_Lag_4,0.1440737972146233
Sales_Rolling_Mean_4,0.14362414848691257
Temperature,0.09838982561893672
Sales_Lag_1,0.07795467417457266
Sales_Lag_2,0.045687200381521756
Sales_Rolling_Mean_8,0.024465304307067
Fuel_Price,0.013857958981285255
Week_sin,0.01229507320528772
CPI,0.011290804953123424
Week_cos,0.006174080466658865
Month,0.0045039530072200785
Holiday_Flag,0.0012445644174988771
Year,0.001058570086121186
Month_cos,0.0007566025231944081
Month_sin,0.0006111874568981327
Unemployment,0.00041219569020553494
Day_of_week,0.0
